#Date	Weight
2014/02/19	159
2014/02/20	160
2014/02/21	162
2014/02/22	163
2014/02/23	163
2014/02/24	164
2014/02/25	162
2014/02/26	163
2014/02/28	163
2014/03/01	164
2014/03/02	164
2014/03/03	164
2014/03/04	164
2014/03/05	165
2014/03/06	165
2014/03/07	164
2014/03/08	164
2014/03/09	165
2014/03/15	166
2014/03/16	166
2014/03/17	166
2014/03/18	166
2014/03/20	168
2014/03/21	168
2014/03/22	169
2014/03/23	169
2014/03/24	169
2014/03/25	169
2014/03/26	167
2014/03/27	168
2014/03/28	168
2014/03/29	169
2014/03/30	170
2014/04/01	170
2014/04/02	169
2014/04/03	169
2014/04/04	169
2014/04/05	170
2014/04/06	169
2014/04/07	170
2014/04/08	169
2014/04/09	168
2014/04/10	168
2014/04/11	168
2014/04/12	169
2014/04/13	168
2014/04/14	170
2014/04/15	169
2014/04/17	168
2014/04/18	168
2014/04/19	168
2014/04/20	168
2014/04/21	170
2014/04/22	170
2014/04/23	170
2014/04/24	170
2014/04/25	170
2014/04/26	171
2014/04/27	171
2014/04/28	171
2014/04/29	170
2014/04/30	170
2014/05/01	170
2014/05/02	170
2014/05/03	171
2014/05/04	171
